Severity,Marker Colour,Number of Vehicles,Number of Casualties,Date,Day,a_date_mon,Time Hour,Time Minutes,Road Class,road_type,speed_limi,junc_det,junc_ctrl,road2_class,light_cond,weather,road_surf,Postcode,Latitude,Longitude
Serious,large_blue,2,1,1/10/2007,Wednesday,January,9,15,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH92RA,55.930857,-3.188769
Serious,large_blue,2,1,1/25/2007,Thursday,January,18,15,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Darkness: street lights present and lit,Unknown,Dry,EH165PD,55.927014,-3.166837
Serious,large_blue,2,1,2/7/2007,Wednesday,February,13,0,C,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH75QB,55.961862,-3.171362
Serious,large_blue,2,1,3/5/2007,Monday,March,8,5,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH65HE,55.969282,-3.174438
Serious,large_blue,2,1,4/18/2007,Wednesday,April,7,8,A,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH114BH,55.922723,-3.286962
Serious,large_blue,2,1,5/3/2007,Thursday,May,10,40,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH141LA,55.924851,-3.245526
Serious,large_blue,2,1,5/14/2007,Monday,May,16,0,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Daylight: street lights present,Fine (without high winds),Dry,EH39LY,55.943478,-3.203966
Serious,large_blue,2,1,5/25/2007,Friday,May,7,50,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH87LB,55.950167,-3.142231
Serious,large_blue,2,1,5/31/2007,Thursday,May,7,30,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH42NY,55.965595,-3.233554
Serious,large_blue,2,1,6/6/2007,Wednesday,June,20,30,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH52DG,55.977152,-3.231607
Serious,large_blue,2,1,6/9/2007,Saturday,June,12,0,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH91NQ,55.939311,-3.182384
Serious,large_blue,2,1,6/21/2007,Thursday,June,18,0,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH127LL,55.93628,-3.284025
Serious,large_blue,4,1,7/1/2007,Sunday,July,20,20,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH44RL,55.969703,-3.26182
Serious,large_blue,2,1,7/14/2007,Saturday,July,20,20,B,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lighting unknown,Fine (without high winds),Dry,EH152ET,55.949122,-3.098035
Serious,large_blue,2,1,8/2/2007,Thursday,August,8,40,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH89QR,55.94268,-3.179572
Serious,large_blue,2,1,8/29/2007,Wednesday,August,18,43,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,A,Daylight: street lights present,Fine (without high winds),Dry,EH125JH,55.946189,-3.227893
Serious,large_blue,2,1,9/6/2007,Thursday,September,18,20,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH42TG,55.965436,-3.257307
Serious,large_blue,2,1,9/7/2007,Friday,September,17,17,A,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH177SA,55.909172,-3.139666
Serious,large_blue,1,1,9/8/2007,Saturday,September,7,30,A,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH91SZ,55.935579,-3.177051
Serious,large_blue,2,1,9/11/2007,Tuesday,September,16,45,C,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH88AS,55.950512,-3.176255
Serious,large_blue,2,1,9/25/2007,Tuesday,September,7,35,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH128EW,55.944928,-3.299171
Serious,large_blue,2,1,9/29/2007,Saturday,September,9,30,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH35HB,55.962348,-3.19925
Serious,large_blue,2,1,10/5/2007,Friday,October,7,55,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH105NU,55.922816,-3.21712
Serious,large_blue,2,1,10/24/2007,Wednesday,October,10,0,Unclassified,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH178LE,55.901848,-3.141738
Serious,large_blue,2,1,10/25/2007,Thursday,October,16,0,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Unknown,Dry,EH35NS,55.96373,-3.203105
Serious,large_blue,2,1,10/28/2007,Sunday,October,16,0,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: street lights present and lit,Fine (without high winds),Dry,EH11BB,55.951961,-3.189944
Serious,large_blue,2,1,11/2/2007,Friday,November,9,45,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH74BL,55.959729,-3.190455
Serious,large_blue,2,1,11/13/2007,Tuesday,November,19,45,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH113AA,55.932823,-3.246246
Serious,large_blue,2,1,11/14/2007,Wednesday,November,10,30,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Unknown,Dry,EH89DH,55.94691,-3.185434
Serious,large_blue,2,1,12/8/2007,Saturday,December,13,0,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH130LE,55.908164,-3.253518
Serious,large_blue,2,1,12/8/2007,Saturday,December,11,38,Unclassified,Roundabout,30,Roundabout,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH88DX,55.952715,-3.17227
Serious,large_blue,2,1,1/14/2008,Monday,January,18,10,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH13PP,55.956284,-3.193552
Serious,large_blue,2,1,2/15/2008,Friday,February,16,55,B,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH309TQ,55.981321,-3.330971
Serious,large_blue,2,1,2/17/2008,Sunday,February,19,15,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH89AA,55.946951,-3.18678
Serious,large_blue,2,1,3/21/2008,Friday,March,11,25,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH112QE,55.922723,-3.286962
Serious,large_blue,2,1,3/27/2008,Thursday,March,19,40,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH165UW,55.921918,-3.163243
Serious,large_blue,2,1,4/2/2008,Wednesday,April,9,15,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,C,Daylight: street lights present,Fine (without high winds),Dry,EH125NG,55.945398,-3.234241
Serious,large_blue,1,1,4/3/2008,Thursday,April,19,0,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH65HB,55.96948,-3.17337
Serious,large_blue,2,1,4/23/2008,Wednesday,April,8,20,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,Daylight: no street lighting,Fine (without high winds),Dry,EH39LH,55.941396,-3.203709
Fatal,large_red,2,1,4/29/2008,Tuesday,April,9,25,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH89EW,55.944933,-3.18358
Serious,large_blue,3,1,5/9/2008,Friday,May,7,50,A,Dual carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH113LJ,55.929392,-3.261085
Serious,large_blue,2,3,5/10/2008,Saturday,May,14,35,A,Unknown,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Unknown,Dry,EH24DR,55.952538,-3.208219
Serious,large_blue,2,1,5/21/2008,Wednesday,May,13,50,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH112PP,55.93724,-3.235918
Serious,large_blue,2,1,5/27/2008,Tuesday,May,17,50,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH88AS,55.950512,-3.176255
Serious,large_blue,2,1,6/10/2008,Tuesday,June,8,0,C,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH164SU,55.920916,-3.142587
Serious,large_blue,2,1,6/25/2008,Wednesday,June,8,50,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH125HD,55.945765,-3.221763
Serious,large_blue,2,1,7/20/2008,Sunday,July,15,50,A,Dual carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH113TB,55.924745,-3.278635
Serious,large_blue,2,1,8/14/2008,Thursday,August,19,40,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH127LA,55.937391,-3.282653
Serious,large_blue,2,1,8/29/2008,Friday,August,8,0,C,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH93AF,55.929357,-3.17563
Serious,large_blue,2,1,9/4/2008,Thursday,September,18,10,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH89AA,55.946951,-3.18678
Serious,large_blue,2,1,9/16/2008,Tuesday,September,11,50,Unclassified,Unknown,30,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH44BX,55.969426,-3.245773
Serious,large_blue,2,1,9/22/2008,Monday,September,8,20,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,Daylight: street lights present,Fine (without high winds),Dry,EH151JN,55.947662,-3.118474
Serious,large_blue,2,1,10/6/2008,Monday,October,19,0,C,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Fine (without high winds),Dry,EH68RT,55.964684,-3.171335
Serious,large_blue,2,1,10/15/2008,Wednesday,October,13,0,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH68SF,55.963625,-3.176813
Serious,large_blue,2,1,10/21/2008,Tuesday,October,7,15,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,Darkness: street lights present but unlit,Fine (without high winds),Dry,EH125YS,55.942648,-3.260876
Serious,large_blue,2,2,10/23/2008,Thursday,October,0,10,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Darkness: no street lighting,Fine with high winds,Dry,EH87AT,55.954316,-3.157824
Serious,large_blue,2,1,11/18/2008,Tuesday,November,8,30,A,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,Daylight: no street lighting,Fine (without high winds),Dry,EH165UJ,55.918773,-3.147916
Serious,large_blue,2,1,11/19/2008,Wednesday,November,9,10,Unclassified,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH67LF,55.969824,-3.146351
Serious,large_blue,2,1,11/26/2008,Wednesday,November,8,58,Unclassified,Roundabout,30,Roundabout,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH52NJ,55.97015,-3.23897
Serious,large_blue,1,1,11/26/2008,Wednesday,November,18,30,A,Roundabout,30,Roundabout,Automatic Traffic Signal,A,Darkness: street lights present and lit,Unknown,Dry,EH165DT,55.933112,-3.166236
Serious,large_blue,2,1,12/22/2008,Monday,December,8,30,B,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Unknown,Dry,EH74EQ,55.9645,-3.192331
Serious,large_blue,2,1,1/14/2009,Wednesday,January,8,45,Unclassified,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,Darkness: street lights present and lit,Other,Dry,EH129DG,55.935701,-3.300735
Serious,large_blue,1,1,1/28/2009,Wednesday,January,8,0,C,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH151LT,55.951375,-3.117252
Fatal,large_red,2,1,2/11/2009,Wednesday,February,10,0,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,A,Daylight: street lights present,Fine (without high winds),Dry,EH151LU,55.951188,-3.11904
Serious,large_blue,1,1,3/10/2009,Tuesday,March,18,0,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH51LY,55.977171,-3.229676
Serious,large_blue,2,1,3/12/2009,Thursday,March,0,5,A,Roundabout,30,Roundabout,Give way sign or markings,C,Darkness: street lights present and lit,Raining (without high winds),Dry,EH13JT,55.957163,-3.187253
Serious,large_blue,2,1,3/16/2009,Monday,March,17,0,A,Unknown,30,Using private drive or entrance,Give way sign or markings,Unclassified,Daylight: street lighting unknown,Fine (without high winds),Dry,EH76TJ,55.957872,-3.124118
Serious,large_blue,2,1,3/17/2009,Tuesday,March,7,30,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,Daylight: street lights present,Other,Dry,EH21DR,55.954478,-3.198253
Serious,large_blue,2,1,3/27/2009,Friday,March,18,55,Unclassified,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH53AP,55.972018,-3.204596
Serious,large_blue,2,1,4/21/2009,Tuesday,April,17,5,A,Single carriageway - 2 lanes,40,Other junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH128NU,55.940088,-3.308983
Serious,large_blue,2,1,5/3/2009,Sunday,May,14,45,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH165DE,55.935361,-3.165023
Serious,large_blue,2,1,5/6/2009,Wednesday,May,14,45,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Raining (without high winds),Dry,EH89QY,55.941957,-3.179118
Serious,large_blue,2,1,5/12/2009,Tuesday,May,8,50,A,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH66RA,55.975513,-3.170172
Serious,large_blue,2,1,5/25/2009,Monday,May,17,18,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,C,Daylight: street lights present,Fine (without high winds),Dry,EH93AB,55.928858,-3.180801
Serious,large_blue,2,1,6/6/2009,Saturday,June,9,38,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,Daylight: street lights present,Fine (without high winds),Dry,EH39BH,55.945619,-3.203712
Serious,large_blue,2,1,6/12/2009,Friday,June,19,20,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH36AS,55.953237,-3.211188
